MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Belts,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",Diablo®,,DCB518ASTS06G,,Tools & Shop Supplies > Abrasives > Sanding Belts,"Diablo 1/2 in x 18 in Sanding Belt, 6-Pack, DCB518ASTS06G",DIABLO 1/2X18 SANDING BELT 6PC,"Diablo® DCB518ASTS06G Sanding Belt, 1/2 in Width, 18 in Length, 6-Pack","Diablo® Sanding Belt, DCB518ASTS06G, Width: 1/2 in, Length: 18 in, Pack Quantity: 6, Application: Wood, Metal, and Plastics, Grain Material: Premium Ceramic Blend","Diablo® DCB518ASTS06G Sanding Belt, 1/2 in Width, 18 in Length, 6-Pack","Upgrade your sanding performance with Diablo's premium sanding belts. Designed for maximum durability and fast material removal, these belts feature a superior ceramic blend for extended life across wood, metal, and plastic applications.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,DCB518ASTS06G,,Model,DCB518ASTS06G,,Width,1/2,in,Length,18,in,Number of Pieces,6,,Material,Ceramic Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,in,,,1/2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100075678,,Tools & Shop Supplies > Abrasives > Sanding Discs,"3M Stikit Film Disc, 775L Series, P150 Grit, Cubitron II, 3MABR-7100075678",3M 775L STIKIT P150 CUBITRON II 50/BOX,"3M® 775L Series 3MABR-7100075678 Stikit Film Disc, P150 Grit, Cubitron II, 50 Discs Per Box","3M® Stikit Film Disc, 775L Series, Cubitron II abrasive grain, P150 Grit, Film backing, Pressure sensitive adhesive attachment, [Quantity] 50 Discs Per Box, [Application] Metalworking, Woodworking, Automotive repair","3M® 775L Series 3MABR-7100075678 Stikit Film Disc, P150 Grit, Cubitron II, 50 Discs Per Box","Experience superior cut rate and longevity with the 3M Cubitron II Stikit Film Disc 775L. Engineered with precision-shaped grain, these discs cut faster and last longer than traditional abrasives while providing a consistent finish.",,,,,,,,,,,,,,,,,,,,,,,,,,Stikit Film Disc,Series,775L,,Model,Stikit,,Abrasive Material,Cubitron II,,Grit,P150,,Backing Material,Film,,Attachment Type,Stikit (PSA),,Quantity Per Box,50,ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M,3M®,,3MABR-7100045865,,Tools & Shop Supplies > Abrasives > Sanding Discs,"3M Stikit Film Disc, 775L, Cubitron II, P120 Grit, 3MABR-7100045865",3M 775L STIKIT FILM P120 CUBITRON II,"3M® Cubitron™ II 775L Stikit™ Film Sanding Disc, P120 Grit, 50 Discs/Box","3M® Cubitron™ II 775L Stikit™ Film Sanding Disc, Series: 775L, Model: 7100045865, Grit: P120, Abrasive Material: Cubitron II Ceramic, Backing Type: Film, Attachment Type: Stikit (Pressure Sensitive Adhesive), Diameter: Not Specified, Color: Purple, Quantity: 50 Discs per Box","3M® Cubitron™ II 775L Stikit™ Film Sanding Disc, P120 Grit, 50 Discs/Box","Boost your productivity and get superior cut rate with 3M Cubitron II 775L Stikit Film Discs. Featuring precision-shaped grain technology, these discs cut faster and last significantly longer than conventional abrasives while providing a consistent finish.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,775L,,Model,7100045865,,Grit,P120,,Abrasive Material,Cubitron II Ceramic,,Backing Type,Film,,Attachment Type,Stikit,,Quantity Per Box,50,Discs,Product Type,Sanding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M,3M®,,3MABR-7100048736,,Tools & Shop Supplies > Abrasives > Sanding Discs,"3M 775L Stikit Film Sanding Disc, P80 Grit, 50 Per Box, 3MABR-7100048736",3M 775L STIKIT FILM P80 5IN 50/BOX,"3M® 775L Stikit Film Sanding Disc, P80 Grit, Cubitron II, 50 Discs/Box","3M® 775L Stikit Film Sanding Disc, Cubitron II Series, Grit: P80, Attachment Type: Stikit™, Backing Material: Film, Diameter: 5 in, Quantity: 50 Discs per Box, Color: Purple","3M® 775L Stikit Film Sanding Disc, P80 Grit, Cubitron II, 50 Discs/Box","Boost productivity and cut faster with 3M Cubitron II Stikit Film Disc 775L. Featuring precision-shaped grain technology, these discs deliver exceptional cut rate and long-lasting performance for all your sanding and finishing needs.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,775L,,Model,Stikit,,Abrasive Material,Cubitron II,,Grit,P80,,Attachment Type,Stikit,,Backing Material,Film,,Number of Discs,50,,Packaging Type,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,,3MABR-7100075690,,Tools & Shop Supplies > Abrasives > Sanding Discs,"3M Stikit Film Sanding Disc, 775L, P180 Grit, Cubitron II, 3MABR-7100075690",3M 775L STIKIT DISC P180 50/BOX,"3M® 775L Stikit™ Film Sanding Disc, P180 Grit, Cubitron™ II, 50/Box","3M® Stikit™ Film Sanding Disc, 775L Series, 3MABR-7100075690, P180 Grit, Cubitron™ II Abrasive Mineral, Film Backing, Pressure Sensitive Adhesive (PSA) Attachment, 50 Discs per Box","3M® 775L Stikit™ Film Sanding Disc, P180 Grit, Cubitron™ II, 50/Box","Experience superior cut rate and lifespan with 3M Cubitron II Stikit Film Discs 775L. Designed with precision-shaped grain on a durable film backing, these discs deliver exceptional performance for high-production industrial sanding and finishing applications.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,775L,,Model,Stikit,,Grit Size,P180,,Abrasive Material,Cubitron II,,Attachment Type,PSA,,Backing Material,Film,,Quantity Per Box,50,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M,3M®,,3MABR-7100075692,,Tools & Shop Supplies > Abrasives > Sanding Discs,"3M Cubitron II Stikit Film Sanding Disc, P220 Grit, 7100075692",3M 775L STIKIT FILM P220 50/BOX,"3M® Cubitron II 775L Stikit Film Sanding Disc, P220 Grit, 50 Discs/Box","3M® Cubitron II 775L Stikit Film Sanding Disc, Series: 775L, Grit: P220, Abrasive Material: Ceramic, Backing Type: Film, Attachment Type: Pressure Sensitive Adhesive (PSA), Quantity: 50 Discs per Box","3M® Cubitron II 775L Stikit Film Sanding Disc, P220 Grit, 50 Discs/Box","Upgrade your surface preparation with 3M Cubitron II Stikit Film Discs. Featuring precision-shaped ceramic grain, these discs cut faster and last longer than traditional abrasives while providing a consistent finish.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,775L,,Model,Stikit,,Grit Size,P220,,Abrasive Material,Cubitron II Ceramic,,Backing Material,Film,,Attachment Type,Pressure Sensitive Adhesive,,Quantity per Box,50,ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M,3M®,,3MABR-7100145365,,Tools & Shop Supplies > Abrasives > Sanding Discs,"3M Stikit Film Sanding Disc, 775L Series, P320 Grit, 7100145365",3M STIKIT FILM DISC P320 50/BOX,"3M® 775L Series 7100145365 Stikit Film Sanding Disc, P320 Grit, Cubitron II, 50/Box","3M® Stikit Film Sanding Disc, 775L Series, Cubitron II, Grit: P320, Attachment Type: Stikit, Backing Material: Film, Quantity: 50 Discs per Box, MPN: 7100145365","3M® 775L Series 7100145365 Stikit Film Sanding Disc, P320 Grit, Cubitron II, 50/Box","Boost productivity and finish quality with 3M Cubitron II Stikit Film Discs. Featuring precision-shaped grain technology, these discs cut faster and last significantly longer than conventional abrasives while delivering a consistent finish.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,775L,,Model,Stikit,,Grit,P320,,Abrasive Material,Cubitron II,,Backing Material,Film,,Attachment Type,Stikit,,Number of Items,50,,Packaging Type,Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Klingspor Abrasive Systems,Klingspor,,5B-332-080,,Tools & Shop Supplies > Abrasives > Sanding Discs,"Klingspor Hiolit Sanding Disc, 5 in, 80 Grit, 5B-332-080",5B-332-080 HIOLIT 5IN P80 DISC,"Klingspor Hiolit 5B-332-080 Sanding Disc, 5 in, P80 Grit","Klingspor Hiolit Sanding Disc, Series: Hiolit, Model: 5B-332-080, Diameter: 5 in, Grit Size: 80, Abrasive Material: Aluminum Oxide, Backing Material: Cloth","Klingspor Hiolit 5B-332-080 Sanding Disc, 5 in, P80 Grit","Upgrade your sanding efficiency with the Klingspor Hiolit sanding disc. Designed for durability and consistent performance, it delivers a smooth finish on demanding applications.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Hiolit,,Model,5B-332-080,,Diameter,5,in,Grit Size,80,,Abrasive Material,Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Discs,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),KWH Mirka Ltd,Mirka®,,5B-332-120,,Tools & Shop Supplies > Abrasives > Sanding Discs,"Mirka Hiolit 5 Inch P120 Grit Sanding Disc, 5B-332-120",MIRKA 5B-332-120 HIOLIT 5IN P120 DISC,Mirka® Hiolit 5B-332-120 Hiolit Series 5 in P120 Grit Sanding Disc,"Mirka® Hiolit Series Sanding Disc, Model: 5B-332-120, 5 in Diameter, P120 Grit, Aluminum Oxide Abrasive, Paper Backing, Resin Bond",Mirka® Hiolit 5B-332-120 Hiolit Series 5 in P120 Grit Sanding Disc,"Experience superior sanding performance with the Mirka Hiolit abrasive disc. Designed for efficient material removal and a smooth finish, it is ideal for various surface preparation applications.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Disc,Series,Hiolit,,Model,5B-332-120,,Diameter,5,in,Grade,P120,,Abrasive Material,Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,,Tools & Shop Supplies,Abrasives,Sanding Sheets & Rolls,,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),KWH Mirka Ltd,Mirka®,,9A-570-240,,Tools & Shop Supplies > Abrasives > Sanding Sheets & Rolls,"Mirka Abranet Sanding Mesh Roll, 2.75 in x 30 ft, 9A-570-240",MIRKA 9A-570-240 ABRANET 2.75X30,"Mirka® Abranet Series 9A-570-240 Sanding Mesh Roll, 2.75 in x 30 ft, 240 Grit","Mirka® Abranet Sanding Mesh Roll, Series: Abranet, Model: 9A-570-240, 2.75 in Width, 30 ft Length, 240 Grit, Open Coat, Mesh Backing, Brown","Mirka® Abranet Series 9A-570-240 Sanding Mesh Roll, 2.75 in x 30 ft, 240 Grit","Experience virtually dust-free sanding with the Mirka Abranet mesh roll. Its innovative net construction eliminates clogging, delivering a smoother finish and longer abrasive life for professional woodworking and automotive applications.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Mesh Roll,Series,Abranet,,Model,9A-570-240,,Width,2.75,in,Length,30,ft,Abrasive Grit,240,,Backing Material,Mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ft,,,2.75,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
